$> openssl enc -aes-256-cbc -k secret -P -md sha1

salt=348C7A28F147EE47
key=13A9D9DE8B4DE8BE3050C88B59D153CDDB324CEA119AA1BBB09656674BDD293E
iv =CAE7FC311E1C10A24EC7D025512C0602


$> ./aes_keyschedule 13A9D9DE8B4DE8BE3050C88B59D153CDDB324CEA119AA1BBB09656674BDD293E

K00: 13A9D9DE8B4DE8BE3050C88B59D153CD
K01: DB324CEA119AA1BBB09656674BDD293E
K02: D30C6B6D584183D368114B5831C01895
K03: 1C88E1C00D12407BBD84161CF6593F22
K04: 1A79F82F42387BFC2A2930A41BE92831
K05: B396D507BE84957C03008360F559BC42
K06: D51CD4C99724AF35BD0D9F91A6E4B7A0
K07: 97FF7CE7297BE99B2A7B6AFBDF22D6B9
K08: 4EEA8257D9CE2D6264C3B2F3C2270553
K09: B233170A9B48FE91B133946A6E1142D3
K10: DCC6E4C80508C9AA61CB7B59A3EC7E0A
K11: B8FDE46D23B51AFC92868E96FC97CC45
K12: 748D8A78718543D2104E388BB3A24681
K13: D5C7BE61F672A49D64F42A0B9863E64E
K14: CF03A53EBE86E6ECAEC8DE671D6A98E6

